STATIONNAME,RACKTOCNT,BIKETOCNT,SHARED_RATE,LATITUDE,LONGITUDE,STATIONID,UPDATETIME
786.목동아파트 8단지 상가동 앞,9,20,222,37.52007294,126.86830139,ST-2012,2023-01-13 11:15:09.581783
787.양천아파트 입구,14,37,264,37.50790405,126.86264801,ST-2013,2023-01-13 11:15:09.581783
788.양천구청역 2번출구 옆,15,1,7,37.51228714,126.86528015,ST-2014,2023-01-13 11:15:09.581783
791.현대하이페리온,15,6,40,37.52490616,126.86978912,ST-2016,2023-01-13 11:15:09.581783
792.목동트라팰리스 웨스턴에비뉴,20,4,20,37.52537155,126.87092590,ST-2017,2023-01-13 11:15:09.581783
793.목동5단지아파트 534동,15,6,40,37.53302002,126.87789917,ST-2039,2023-01-13 11:15:09.581783
794.양천문화회관,10,10,100,37.51686478,126.86296082,ST-2395,2023-01-13 11:15:09.581783
795.양천 해누리타운,12,2,17,37.51584244,126.86411285,ST-2396,2023-01-13 11:15:09.581783
796.목동아파트 14단지 B상가 앞,10,9,90,37.51466370,126.87194061,ST-2397,2023-01-13 11:15:09.581783
797.목동아파트 1422동 1434동 사잇길,10,32,320,37.51515579,126.87248993,ST-2398,2023-01-13 11:15:09.581783
800. 목월공원 앞,15,3,20,37.53243256,126.95474243,ST-322,2023-01-13 11:15:09.581783
802. 한강진역 2번 출구 앞,10,1,10,37.54115295,127.00221252,ST-324,2023-01-13 11:15:09.581783
803. 한남초교 앞 보도육교,10,10,100,37.53813934,127.00409698,ST-325,2023-01-13 11:15:09.581783
805. 문배어린이공원 앞,9,16,178,37.53675842,126.97000122,ST-326,2023-01-13 11:15:09.581783
806. 전자랜드 본관 앞,20,9,45,37.53306580,126.96073151,ST-327,2023-01-13 11:15:09.581783
807. 서울역 12번 출구 앞,10,10,100,37.55227661,126.97268677,ST-328,2023-01-13 11:15:09.581783
808. 서빙고동 금호맨션 앞,10,7,70,37.52050400,126.98973846,ST-329,2023-01-13 11:15:09.581783
809. 한남 유수지 복개주차장,10,24,240,37.53016663,127.00743866,ST-330,2023-01-13 11:15:09.581783
810. 이태원지하보도,10,1,10,37.53841019,126.98664856,ST-331,2023-01-13 11:15:09.581783
811. 녹사평역1번출구,20,15,75,37.53507996,126.98538208,ST-332,2023-01-13 11:15:09.581783
812. 용산전쟁기념관,10,2,20,37.53483963,126.97766113,ST-333,2023-01-13 11:15:09.581783
813. 삼각지역 3번출구,20,19,95,37.53351212,126.97227478,ST-334,2023-01-13 11:15:09.581783
815. LIG강촌아파트 103동앞,30,33,110,37.51850891,126.97879791,ST-335,2023-01-13 11:15:09.581783
816. 신용산역 6번출구 앞,25,11,44,37.53014755,126.96848297,ST-435,2023-01-13 11:15:09.581783
817. 삼각지역 4번출구 앞,9,11,122,37.53345108,126.97173309,ST-436,2023-01-13 11:15:09.581783
818. 숙명여대 입구 교차로,12,12,100,37.54489517,126.96938324,ST-437,2023-01-13 11:15:09.581783
819. 선린인터넷 고등학교,12,17,142,37.54165268,126.97050476,ST-438,2023-01-13 11:15:09.581783
820. 청파동입구 교차로,10,6,60,37.54902649,126.97194672,ST-439,2023-01-13 11:15:09.581783
822. 이촌1동 마을공원,10,7,70,37.52202606,126.96618652,ST-440,2023-01-13 11:15:09.581783
823. 효창동주민센터 앞,10,10,100,37.54232025,126.96195984,ST-441,2023-01-13 11:15:09.581783
825. 서빙고동 주민센터 앞,15,14,93,37.52033615,126.99426270,ST-442,2023-01-13 11:15:09.581783
826. 서울역 서부교차로2,20,25,125,37.55536652,126.96864319,ST-946,2023-01-13 11:15:09.581783
827. 국군복지단,14,1,7,37.54188538,126.97966003,ST-1324,2023-01-13 11:15:09.581783
828. 숙대입구역 8번,7,0,0,37.54407883,126.97200012,ST-1325,2023-01-13 11:15:09.581783
829. 베르가모앞,40,5,13,37.52293015,126.96169281,ST-1326,2023-01-13 11:15:09.581783
830. 청암자이아파트앞,10,4,40,37.53442383,126.94857025,ST-1327,2023-01-13 11:15:09.581783
831. 이태원관광특구입구,10,0,0,37.53427887,126.98856354,ST-1328,2023-01-13 11:15:09.581783
