,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류코드,표준산업분류명,도로명,경도,위도
3829,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 장수로,126.748516867385,37.451748838282
3893,영심이24편의점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 용유서로,126.373452239272,37.4498214319571
3980,365PLUS청라린점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 청라라임로,126.65258767357,37.534723556094
4037,GS,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 용유서로304번길,126.376061250097,37.445712709553
4057,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 주안로,126.685403083918,37.4635699351231
4153,YES부평아이즈빌점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 마장로,126.70370029967,37.5213478777596
4329,캔버스부평점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 장제로83번길,126.729579590398,37.4928682354805
4368,코리아세븐인천아암대로점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 아암대로,126.70413886169,37.3845935354484
4393,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 청능대로,126.710406423253,37.3984029906982
4419,비지에프리테일작전카이져,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 아나지로,126.728040837626,37.5249103051201
4489,CU석모도민머루점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 삼산면 어류정길212번길,126.333957861679,37.6514605809103
4561,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 건지로,126.685337398373,37.4931319969747
4648,코리아세븐인천,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 함박뫼로26번길,126.672019380984,37.4194588234839
4743,미니스톱계양아주점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 용종로,126.743238014203,37.5368224123782
4832,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 선수촌로,126.712832788334,37.4414090889951
4903,세븐일레븐인천검단공구상가점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 보듬5로,126.612522024707,37.5939875528519
4962,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 경원대로,126.681109860775,37.4042068908531
5032,에이머스써치,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 동구 동산로,126.646382536983,37.4736083142396
5167,위드미,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 동암남로34번길,126.707059095749,37.4682780144695
5244,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 인하로47번길,126.658990819491,37.4531905997662
5251,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 옹진군 백령면 백령남로,124.719230473229,37.9695992347014
5323,세븐일레븐부평구도일점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 경인로,126.733097521984,37.4867789944641
5495,GS25삼산블루밍,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 후정동로,126.737683626449,37.5186254799267
5511,지에스25원당대로,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 원당대로,126.696439412142,37.5940072536966
5514,CU석바위점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 경원대로851번길,126.688502579113,37.4589099977247
5562,세븐일레븐부평1617,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부평대로,126.722690530406,37.4923434301275
5741,인더라인편의점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 효서로,126.708670406907,37.5276824750027
5787,세븐일레븐강화장정리점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 하점면 강화대로,126.423024562992,37.7734960471554
5817,CU도화한나루점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 한나루로,126.672129955279,37.4592407329311
5887,CU주안PMK점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 경원대로,126.689495507972,37.4525326854824
5958,GS25남동프라자,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 장승남로,126.738996163641,37.4432589518353
6037,인천임학점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 임학동로,126.736998690857,37.5458291682277
6065,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 소래역동로,126.732771246282,37.4029337925729
6078,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 토금중로,126.63472923645,37.4542102659104
6121,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 가정로352번길,126.675989530727,37.5159586852346
6137,뚜벅이편의점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 아트센터대로,126.638599134759,37.4009317922421
6191,CU학익드림점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 학익소로,126.667703040368,37.4462791138258
6221,채널Q주안월드,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 주안로,126.688391853317,37.463954551874
6331,7일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 인하로235번길,126.674488612092,37.4485629491122
6439,훼미리마트인천오류힐스테이트점-0,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 봉화로108번길,126.641374854951,37.6032792631652
6476,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부일로113번길,126.740382484337,37.4892896856727
6493,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 석정로,126.641744176535,37.4612920990759
6519,씨유인천,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 인주대로330번길,126.673144486864,37.4510797676983
6533,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 경원대로1367번길,126.721142526831,37.4922726197967
6554,인더라인25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 화도면 가능포로,126.418922750016,37.6338537655031
6754,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 미추홀대로,126.679505108429,37.4499256087393
6769,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 장제로,126.733523860677,37.5318260504605
6857,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 차이나타운로,126.618658583412,37.475035412541
6919,CU검단산업제일점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 원당대로,126.61368360708,37.5936317910292
6963,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 장제로,126.73294654675,37.5772944996526
6995,CU원당중앙,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 고산후로95번길,126.69710891377,37.5926270847358
7045,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 도두리로6번길,126.73491544442,37.5324987164813
7052,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 화도면 해안남로,126.456521938234,37.5945190735319
7093,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 신송로,126.648813150767,37.3981926768088
7094,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 봉오대로691번길,126.725660972486,37.5311377717139
7143,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 석정로,126.692845654499,37.4658960752176
7144,세븐일레븐인천구월중앙점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 호구포로,126.719526874319,37.459061042341
7167,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 옹진군 영흥면 영흥로251번길,126.481893017374,37.2556964491694
7193,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 논고개로,126.724822195288,37.3994603942057
7201,지에스25부평신명,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 장제로,126.729636851606,37.4988336798967
7264,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 담방로21번길,126.735332951109,37.440678876409
7326,CU계양동양점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 동양로,126.758593165474,37.5592852467487
7375,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 대정로,126.728326595298,37.4927376192937
7425,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 주부토로,126.72846079156,37.5461520010828
7451,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 매소홀로,126.666541073468,37.4397965894364
7462,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 계양대로,126.722800421474,37.5277099993316
7468,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 황어로134번길,126.736281009357,37.5789430718518
7618,세븐일레븐송도힐스테이트점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 컨벤시아대로,126.649576036746,37.3965885344341
7670,GS25작전점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 계양대로,126.72280624472,37.5293589400974
7700,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 샘말로21번길,126.678218882529,37.4125362505133
7726,미니스톱,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 길주로75번길,126.670692955372,37.5097361867588
7838,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 크리스탈로102번길,126.637161800322,37.5349609921588
7970,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 논고개로,126.724490884329,37.4016824014502
8215,코리아세븐인천,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 문화로,126.696973604816,37.4429833102586
8264,세븐일레븐숭의타운점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 경인로42번길,126.648435243436,37.4625762020692
8279,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부평대로,126.722450653812,37.5004501131168
8289,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 독곡로48번길,126.748748757769,37.4344332864706
8348,조이마트,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 충선로,126.736269801962,37.5045272638073
